cluster,carburant,segment,age_class,km_class,annonces_publiees,ventes,opt_ventes,ecart_ventes,ventes/annonces,opt_ventes/annonces,ecart_ventes/annonces,BP/B2C_min,BP/B2C,BP/B2C_max,opt_BP/B2C_min,opt_BP/B2C,opt_BP/B2C_max,ecart_BP/B2C,CP/B2C_min,CP/B2C,CP/B2C_max,opt_CP/B2C_min,opt_CP/B2C,opt_CP/B2C_max,ecart_CP/B2C,commission,opt_commission,ecart_commission,delai_vente,opt_delai_vente,ecart_delai_vente,gain_total,opt_gain_total,ecart_gain_total,opt_size,final_BP/B2C_min,final_BP/B2C,final_BP/B2C_max,final_CP/B2C_min,final_CP/B2C,final_CP/B2C_max,final_ventes/annonces,final_commission,final_delai_vente,final_ventes,final_gain_total,reference,methode,final_ecart_BP/B2C_min,final_ecart_BP/B2C,final_ecart_BP/B2C_max,final_ecart_CP/B2C_min,final_ecart_CP/B2C,final_ecart_CP/B2C_max,final_ecart_ventes/annonces,final_ecart_commission,final_ecart_delai_vente,final_ecart_ventes,final_ecart_gain_total
ESSENCE_GRAND_7_souskm,ESSENCE,GRAND,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_GRAND_7_surkm,ESSENCE,GRAND,"7,00",surkm,"1,00","1,00","0,00","0,00","1,00","0,00","0,00","0,88","0,88","0,88","0,00","0,00","0,00","0,00","1,05","1,05","1,05","0,00","0,00","0,00","0,00","990,00","0,00","0,00","21,00","0,00","0,00","990,00","0,00","0,00","0,00","0,88","0,88","0,88","1,05","1,05","1,05","1,00","990,00","21,00","1,00","990,00",ESSENCE_GRAND_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_2_normale,ESSENCE,SPORT,"2,00",normale,"2,00","1,00","0,00","0,00","0,50","0,00","0,00","0,89","0,90","0,91","0,00","0,00","0,00","0,00","0,94","0,94","0,94","0,00","0,00","0,00","0,00","2421,00","0,00","0,00","36,00","0,00","0,00","2421,00","0,00","0,00","0,00","0,89","0,90","0,91","0,94","0,94","0,94","0,50","2421,00","36,00","1,00","2421,00",ESSENCE_SPORT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_2_souskm,ESSENCE,SPORT,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_2_surkm,ESSENCE,SPORT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_27_normale,ESSENCE,SPORT,"27,00",normale,"29,00","14,00","19,33","5,33","0,48","0,67","0,19","0,85","0,89","0,92","0,85","0,87","0,90","-0,02","0,91","0,94","0,97","0,91","0,92","0,95","-0,02","1187,29","1533,33","346,04","52,71","30,67","-22,05","16622,00","29644,44","13022,44","9,00","0,85","0,89","0,92","0,91","0,94","0,97","0,48","1187,29","52,71","14,00","16622,00",ESSENCE_SPORT_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_27_souskm,ESSENCE,SPORT,"27,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_27_surkm,ESSENCE,SPORT,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_7_normale,ESSENCE,SPORT,"7,00",normale,"37,00","19,00","27,75","8,75","0,51","0,75","0,24","0,84","0,89","0,95","0,85","0,88","0,90","0,00","0,92","0,96","1,00","0,93","0,96","1,00","0,01","915,63","1005,67","90,04","32,37","28,17","-4,20","17397,00","27907,25","10510,25","8,00","0,84","0,89","0,95","0,92","0,96","1,00","0,51","915,63","32,37","19,00","17397,00",ESSENCE_SPORT_7_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ESSENCE_SPORT_7_souskm,ESSENCE,SPORT,"7,00",souskm,"2,00","1,00","0,00","0,00","0,50","0,00","0,00","0,75","0,79","0,82","0,00","0,00","0,00","0,00","0,93","0,93","0,93","0,00","0,00","0,00","0,00","890,00","0,00","0,00","23,00","0,00","0,00","890,00","0,00","0,00","0,00","0,84","0,90","0,93","0,94","0,97","1,00","0,51","857,06","36,12","594,00","509092,00",ESSENCE_PETIT_27_normale,moyenne cluster reference,"0,09","0,11","0,11","0,01","0,04","0,07","0,01","-32,94","13,12","593,00","508202,00"
