cluster,carburant,segment,age_class,km_class,annonces_publiees,ventes,opt_ventes,ecart_ventes,ventes/annonces,opt_ventes/annonces,ecart_ventes/annonces,BP/B2C_min,BP/B2C,BP/B2C_max,opt_BP/B2C_min,opt_BP/B2C,opt_BP/B2C_max,ecart_BP/B2C,CP/B2C_min,CP/B2C,CP/B2C_max,opt_CP/B2C_min,opt_CP/B2C,opt_CP/B2C_max,ecart_CP/B2C,commission,opt_commission,ecart_commission,delai_vente,opt_delai_vente,ecart_delai_vente,gain_total,opt_gain_total,ecart_gain_total,opt_size,final_BP/B2C_min,final_BP/B2C,final_BP/B2C_max,final_CP/B2C_min,final_CP/B2C,final_CP/B2C_max,final_ventes/annonces,final_commission,final_delai_vente,final_ventes,final_gain_total,reference,methode,final_ecart_BP/B2C_min,final_ecart_BP/B2C,final_ecart_BP/B2C_max,final_ecart_CP/B2C_min,final_ecart_CP/B2C,final_ecart_CP/B2C_max,final_ecart_ventes/annonces,final_ecart_commission,final_ecart_delai_vente,final_ecart_ventes,final_ecart_gain_total
ELECTRIQUE_SPORT_27_normale,ELECTRIQUE,SPORT,"27,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_27_souskm,ELECTRIQUE,SPORT,"27,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_27_surkm,ELECTRIQUE,SPORT,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_7_normale,ELECTRIQUE,SPORT,"7,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_7_souskm,ELECTRIQUE,SPORT,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ELECTRIQUE_SPORT_7_surkm,ELECTRIQUE,SPORT,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,87","0,92","0,93","0,97","0,99","0,41","1117,07","39,36","14,00","15639,00",ELECTRIQUE,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_2_normale,HYBRIDE,PETIT,"2,00",normale,"34,00","16,00","28,33","12,33","0,47","0,83","0,36","0,87","0,90","0,93","0,80","0,83","0,85","-0,07","0,93","0,94","0,96","0,94","0,96","0,98","0,01","1073,69","994,00","-79,69","34,25","41,60","7,35","17179,00","28163,33","10984,33","6,00","0,87","0,90","0,93","0,93","0,94","0,96","0,47","1073,69","34,25","16,00","17179,00",HYBRIDE_PETIT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_2_souskm,HYBRIDE,PETIT,"2,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_2_surkm,HYBRIDE,PETIT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_27_normale,HYBRIDE,PETIT,"27,00",normale,"75,00","53,00","56,25","3,25","0,71","0,75","0,04","0,86","0,90","0,92","0,90","0,92","0,95","0,02","0,92","0,95","0,96","0,92","0,95","0,96","-0,01","992,32","1006,00","13,68","24,92","22,89","-2,04","52593,00","56587,50","3994,50","24,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_27_souskm,HYBRIDE,PETIT,"27,00",souskm,"4,00","1,00","0,00","0,00","0,25","0,00","0,00","0,80","0,86","0,91","0,00","0,00","0,00","0,00","0,91","0,91","0,91","0,00","0,00","0,00","0,00","790,00","0,00","0,00","15,00","0,00","0,00","790,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,07","0,04","0,02","0,01","0,04","0,05","0,46","202,32","9,92","52,00","51803,00"
HYBRIDE_PETIT_27_surkm,HYBRIDE,PETIT,"27,00",surkm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_7_normale,HYBRIDE,PETIT,"7,00",normale,"47,00","32,00","47,00","15,00","0,68","1,00","0,32","0,81","0,86","0,90","0,75","0,79","0,80","-0,07","0,93","0,95","0,98","0,84","0,92","0,96","-0,03","807,22","750,00","-57,22","25,13","28,80","3,68","25831,00","35250,00","9419,00","5,00","0,81","0,86","0,90","0,93","0,95","0,98","0,68","807,22","25,13","32,00","25831,00",HYBRIDE_PETIT_7_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_7_souskm,HYBRIDE,PETIT,"7,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_PETIT_7_surkm,HYBRIDE,PETIT,"7,00",surkm,"3,00","3,00","0,00","0,00","1,00","0,00","0,00","0,87","0,90","0,92","0,00","0,00","0,00","0,00","0,92","0,95","0,98","0,00","0,00","0,00","0,00","823,33","0,00","0,00","13,67","0,00","0,00","2470,00","0,00","0,00","0,00","0,87","0,90","0,92","0,92","0,95","0,98","1,00","823,33","13,67","3,00","2470,00",HYBRIDE_PETIT_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_2_normale,HYBRIDE,GRAND,"2,00",normale,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_2_souskm,HYBRIDE,GRAND,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_2_surkm,HYBRIDE,GRAND,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_27_normale,HYBRIDE,GRAND,"27,00",normale,"20,00","13,00","16,67","3,67","0,65","0,83","0,18","0,86","0,89","0,91","0,85","0,87","0,90","-0,02","0,94","0,97","0,99","0,95","0,96","0,98","0,00","1287,23","1253,20","-34,03","43,54","36,40","-7,14","16734,00","20886,67","4152,67","6,00","0,86","0,89","0,91","0,94","0,97","0,99","0,65","1287,23","43,54","13,00","16734,00",HYBRIDE_GRAND_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_27_souskm,HYBRIDE,GRAND,"27,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_27_surkm,HYBRIDE,GRAND,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_7_normale,HYBRIDE,GRAND,"7,00",normale,"17,00","9,00","8,50","-0,50","0,53","0,50","-0,03","0,87","0,91","0,96","0,85","0,87","0,90","-0,04","0,95","0,97","0,98","0,89","0,90","0,91","-0,07","932,00","890,00","-42,00","48,56","13,50","-35,06","8388,00","7565,00","-823,00","4,00","0,87","0,91","0,96","0,95","0,97","0,98","0,53","932,00","48,56","9,00","8388,00",HYBRIDE_GRAND_7_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_7_souskm,HYBRIDE,GRAND,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_GRAND_7_surkm,HYBRIDE,GRAND,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_2_normale,HYBRIDE,SPORT,"2,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_2_souskm,HYBRIDE,SPORT,"2,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_2_surkm,HYBRIDE,SPORT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_27_normale,HYBRIDE,SPORT,"27,00",normale,"4,00","2,00","0,00","0,00","0,50","0,00","0,00","0,83","0,88","0,91","0,00","0,00","0,00","0,00","0,93","0,95","0,96","0,00","0,00","0,00","0,00","1198,00","0,00","0,00","21,50","0,00","0,00","2396,00","0,00","0,00","0,00","0,83","0,88","0,91","0,93","0,95","0,96","0,50","1198,00","21,50","2,00","2396,00",HYBRIDE_SPORT_27_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_27_souskm,HYBRIDE,SPORT,"27,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_27_surkm,HYBRIDE,SPORT,"27,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_7_normale,HYBRIDE,SPORT,"7,00",normale,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_7_souskm,HYBRIDE,SPORT,"7,00",souskm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HYBRIDE_SPORT_7_surkm,HYBRIDE,SPORT,"7,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","0,90","0,92","0,92","0,95","0,96","0,71","992,32","24,92","53,00","52593,00",HYBRIDE_PETIT_27_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
