vo_modele_id,segment_name,segment_class
956,MINI SUV,PETIT
957,MINI SUV,PETIT
959,GRAND,GRAND
960,SPORT,SPORT
961,MOYEN GRAND,GRAND
962,MOYEN GRAND,GRAND
964,MINI SUV,PETIT
965,MOYEN GRAND,GRAND
966,MINI MONOSPACE,PETIT
967,MOYEN PETIT,PETIT
968,SPORT,SPORT
969,SPORTIVE,SPORT
971,PETIT,PETIT
973,PETIT,PETIT
974,GRAND SUV,GRAND
976,MINI MONOSPACE,PETIT
977,GRAND MONOSPCE,GRAND
978,UTILITAIRE,UTILITAIRE
981,SPORTIVE,SPORT
982,GRAND SUV,GRAND
983,MINI MONOSPACE,PETIT
984,UTILITAIRE,UTILITAIRE
986,GRAND MONOSPCE,GRAND
987,MOYEN,GRAND
988,MINI,PETIT
991,MOYEN PETIT,PETIT
992,GRAND SUV,GRAND
993,SPORTIVE,SPORT
994,MINI MONOSPACE,PETIT
995,MINI,PETIT
996,SPORTIVE,SPORT
998,GRAND,GRAND
1001,GRAND MONOSPCE,GRAND
1002,MINI,PETIT
1007,SPORT,SPORT
1009,GRAND SUV,GRAND
1011,MINI SUV,PETIT
1012,GRAND MONOSPCE,GRAND
1015,UTILITAIRE,UTILITAIRE
1017,SPORTIVE,SPORT
1018,UTILITAIRE,UTILITAIRE
1024,MINI SUV,PETIT
1025,SPORTIVE,SPORT
1026,MINI MONOSPACE,PETIT
1028,SPORT,SPORT
1029,MOYEN GRAND,GRAND
1030,SPORTIVE,SPORT
1031,MOYEN GRAND,GRAND
1032,MOYEN,GRAND
1034,SPORTIVE,SPORT
1035,LUXE,SPORT
1040,MINI,PETIT
1049,MINI SUV,PETIT
1052,MINI MONOSPACE,PETIT
1053,MINI SUV,PETIT
1055,SPORTIVE,SPORT
