vo_modele_id,segment_name,segment_class
4328,LUXE,SPORT
4329,GRAND SUV,GRAND
4330,MOYEN GRAND,GRAND
4331,MINI SUV,PETIT
4363,UTILITAIRE,UTILITAIRE
4371,MOYEN PETIT,PETIT
4372,GRAND MONOSPCE,GRAND
4380,PETIT,PETIT
4391,GRAND MONOSPCE,GRAND
4395,MINI SUV,PETIT
4398,PETIT,PETIT
4503,SPORT,SPORT
4540,SPORT,SPORT
4633,SPORT,SPORT
4636,GRAND MONOSPCE,GRAND
4675,MINI SUV,PETIT
4737,GRAND,GRAND
4743,GRAND MONOSPCE,GRAND
4747,GRAND SUV,GRAND
4749,MINI SUV,PETIT
4750,MINI SUV,PETIT
4752,UTILITAIRE,UTILITAIRE
4762,SPORTIVE,SPORT
4804,SPORT,SPORT
4815,SPORT,SPORT
4816,MOYEN PETIT,PETIT
4817,MOYEN GRAND,GRAND
4818,GRAND SUV,GRAND
4829,MINI SUV,PETIT
4831,MINI SUV,PETIT
4832,MOYEN,GRAND
4833,MINI SUV,PETIT
4834,MINI SUV,PETIT
4853,MINI SUV,PETIT
4854,GRAND SUV,GRAND
4855,MINI SUV,PETIT
4856,MINI SUV,PETIT
4857,MINI SUV,PETIT
4858,MINI SUV,PETIT
4859,MINI SUV,PETIT
4860,MOYEN,GRAND
4913,MINI MONOSPACE,PETIT
4919,GRAND SUV,GRAND
4925,MINI MONOSPACE,PETIT
4928,MINI SUV,PETIT
4929,MINI SUV,PETIT
4936,SPORT,SPORT
4938,GRAND,GRAND
4952,MINI SUV,PETIT
4953,MINI MONOSPACE,PETIT
4954,MINI MONOSPACE,PETIT
4959,MINI SUV,PETIT
4966,MINI MONOSPACE,PETIT
4967,MINI MONOSPACE,PETIT
4973,MOYEN GRAND,GRAND
4990,MINI MONOSPACE,PETIT
4996,UTILITAIRE,UTILITAIRE
4997,MINI MONOSPACE,PETIT
4998,MOYEN,GRAND
5003,MINI SUV,PETIT
5020,MINI SUV,PETIT
5026,MINI SUV,PETIT
5027,MINI SUV,PETIT
5029,MINI SUV,PETIT
5030,MINI SUV,PETIT
5039,SPORT,SPORT
5068,MINI SUV,PETIT
5069,MOYEN PETIT,PETIT
5139,MINI SUV,PETIT
5150,SPORTIVE,SPORT
5151,MINI MONOSPACE,PETIT
5152,MINI SUV,PETIT
5153,GRAND MONOSPCE,GRAND
5156,PETIT,PETIT
5211,UTILITAIRE,UTILITAIRE
5246,UTILITAIRE,UTILITAIRE
5249,MINI SUV,PETIT
5266,PETIT,PETIT
5269,MINI SUV,PETIT
5277,GRAND,GRAND
5278,SPORTIVE,SPORT
5299,MINI SUV,PETIT
5300,PETIT,PETIT
5301,MINI SUV,PETIT
5303,MINI,PETIT
5307,MINI,PETIT
5325,GRAND MONOSPCE,GRAND
5333,GRAND MONOSPCE,GRAND
5336,PETIT,PETIT
5337,MINI SUV,PETIT
5338,MINI SUV,PETIT
5339,MINI SUV,PETIT
5344,PETIT,PETIT
5345,MINI,PETIT
5347,UTILITAIRE,UTILITAIRE
5396,MINI SUV,PETIT
5426,UTILITAIRE,UTILITAIRE
5427,UTILITAIRE,UTILITAIRE
5429,UTILITAIRE,UTILITAIRE
5434,UTILITAIRE,UTILITAIRE
5437,MINI MONOSPACE,PETIT
5566,MINI SUV,PETIT
5623,MOYEN PETIT,PETIT
5624,UTILITAIRE,UTILITAIRE
5772,MINI MONOSPACE,PETIT
5778,MINI SUV,PETIT
5795,LUXE,SPORT
5796,LUXE,SPORT
5798,UTILITAIRE,UTILITAIRE
5809,MINI SUV,PETIT
5815,PETIT,PETIT
5817,PETIT,PETIT
